firstname,firstname_length,proba_man,proba_female,total
marie antoinette,16,0.0,100.0,7563.0
pierre alexandre,16,100.0,0.0,3205.0
marie bernadette,16,0.0,100.0,2304.0
marie emmanuelle,16,0.0,100.0,1194.0
marie christine,15,0.0,100.0,75398.0
jean christophe,15,100.0,0.0,31987.0
marie francoise,15,0.0,100.0,28074.0
marie madeleine,15,0.0,100.0,12469.0
francois xavier,15,100.0,0.0,7285.0
marie dominique,15,0.0,100.0,5540.0
marie charlotte,15,0.0,100.0,4262.0
marie catherine,15,0.0,100.0,3582.0
pierre emmanuel,15,100.0,0.0,3223.0
marie elisabeth,15,0.0,100.0,2634.0
pierre francois,15,100.0,0.0,1804.0
marie gabrielle,15,0.0,100.0,1596.0
charles edouard,15,100.0,0.0,1210.0
marie josephine,15,0.0,100.0,1024.0
_prenoms_rares,14,48.34,51.66,1653266.0
jean sebastien,14,100.0,0.0,5195.0
anne charlotte,14,0.0,100.0,4184.0
pierre antoine,14,100.0,0.0,4087.0
marie laurence,14,0.0,100.0,3749.0
marie caroline,14,0.0,100.0,2448.0
pierre olivier,14,100.0,0.0,2220.0
anne catherine,14,0.0,100.0,1974.0
anne francoise,14,0.0,100.0,1825.0
marie isabelle,14,0.0,100.0,1614.0
jean dominique,14,100.0,0.0,1564.0
jean christian,14,100.0,0.0,1312.0
anne christine,14,0.0,100.0,1125.0
jean francois,13,100.0,0.0,99697.0
marie therese,13,0.0,100.0,89158.0
jean baptiste,13,99.82,0.18,49075.0
jean philippe,13,100.0,0.0,45889.0
marie josephe,13,0.0,100.0,11203.0
marie chantal,13,0.0,100.0,4904.0
mohamed amine,13,100.0,0.0,4271.0
marie pascale,13,0.0,100.0,2586.0
charles henri,13,100.0,0.0,1876.0
jean emmanuel,13,100.0,0.0,1245.0
marie martine,13,0.0,100.0,1194.0
marie claude,12,0.08,99.92,57611.0
marie france,12,0.0,100.0,53935.0
jean jacques,12,100.0,0.0,53825.0
marie louise,12,0.0,100.0,48815.0
marie helene,12,0.0,100.0,37810.0
marie claire,12,0.0,100.0,36003.0
marie pierre,12,0.32,99.68,31744.0
marie noelle,12,0.0,100.0,21342.0
marie jeanne,12,0.0,100.0,19638.0
jean charles,12,100.0,0.0,19385.0
jean bernard,12,100.0,0.0,8893.0
marie annick,12,0.0,100.0,7280.0
pierre louis,12,100.0,0.0,6167.0
marie cecile,12,0.0,100.0,5598.0
marc antoine,12,100.0,0.0,5379.0
marie andree,12,0.0,100.0,4670.0
pierre marie,12,100.0,0.0,3813.0
jeanne marie,12,0.0,100.0,3226.0
marie amelie,12,0.0,100.0,2504.0
marie joelle,12,0.0,100.0,2434.0
marie sophie,12,0.0,100.0,2377.0
jean patrick,12,100.0,0.0,2318.0
pierre henri,12,100.0,0.0,2285.0
marie joseph,12,19.61,80.39,2269.0
marie celine,12,0.0,100.0,2164.0
abderrahmane,12,100.0,0.0,1833.0
maximilienne,12,0.0,100.0,1772.0
pierre alain,12,100.0,0.0,1749.0
marie yvonne,12,0.0,100.0,1592.0
jean gabriel,12,100.0,0.0,1570.0
marie astrid,12,0.0,100.0,1501.0
annie claude,12,0.0,100.0,1386.0
jean maurice,12,100.0,0.0,1379.0
jean laurent,12,100.0,0.0,1284.0
pierre andre,12,100.0,0.0,1282.0
marie angele,12,0.0,100.0,1267.0
claire marie,12,0.0,100.0,1154.0
paul antoine,12,100.0,0.0,1134.0
fatima zahra,12,0.0,100.0,1087.0
scholastique,12,22.71,77.29,1079.0
jean nicolas,12,100.0,0.0,1051.0
jean pierre,11,100.0,0.0,214563.0
jean claude,11,100.0,0.0,173509.0
jean michel,11,100.0,0.0,86584.0
christopher,11,100.0,0.0,38428.0
marie laure,11,0.0,100.0,35404.0
anne sophie,11,0.0,100.0,32464.0
marie paule,11,0.0,100.0,19019.0
alexandrine,11,0.0,100.0,14065.0
marie odile,11,0.0,100.0,10363.0
pierre yves,11,100.0,0.0,9259.0
marie josee,11,0.0,100.0,8936.0
christianne,11,0.0,100.0,7949.0
marie agnes,11,0.0,100.0,7596.0
anne claire,11,0.0,100.0,6127.0
jean pascal,11,100.0,0.0,4877.0
anne cecile,11,0.0,100.0,4292.0
guillemette,11,0.0,100.0,4016.0
pierre jean,11,100.0,0.0,3436.0
anne gaelle,11,0.0,100.0,2970.0
jean daniel,11,100.0,0.0,2912.0
marie reine,11,0.0,100.0,2399.0
mohamed ali,11,100.0,0.0,2172.0
louis marie,11,100.0,0.0,2016.0
nathanaelle,11,0.0,100.0,1864.0
marie renee,11,0.0,100.0,1823.0
jean robert,11,100.0,0.0,1804.0
melissandre,11,0.0,100.0,1717.0
jean hugues,11,100.0,0.0,1631.0
jean joseph,11,100.0,0.0,1626.0
marie alice,11,0.0,100.0,1556.0
jean benoit,11,100.0,0.0,1250.0
jean marcel,11,100.0,0.0,1111.0
marie aline,11,0.0,100.0,1091.0
marie elise,11,0.0,100.0,1077.0
charlemagne,11,90.21,9.79,1062.0
christophe,10,99.97,0.03,376082.0
jacqueline,10,0.0,100.0,372507.0
marguerite,10,0.06,99.94,271274.0
christiane,10,0.0,100.0,259531.0
christelle,10,0.0,100.0,155755.0
bernadette,10,0.0,100.0,141520.0
anne marie,10,0.0,100.0,100276.0
jean marie,10,100.0,0.0,86702.0
jean louis,10,100.0,0.0,80453.0
emmanuelle,10,0.0,100.0,80277.0
antoinette,10,0.0,100.0,72566.0
mauricette,10,0.0,100.0,52818.0
frederique,10,0.72,99.28,50366.0
clementine,10,0.0,100.0,37728.0
marie jose,10,0.1,99.9,34885.0
anne laure,10,0.0,100.0,20456.0
gwendoline,10,0.0,100.0,20317.0
marie ange,10,0.33,99.67,16808.0
marie line,10,0.0,100.0,16264.0
alphonsine,10,0.0,100.0,13351.0
marie rose,10,0.0,100.0,12527.0
marie anne,10,0.0,100.0,12016.0
maximilien,10,100.0,0.0,11907.0
rose marie,10,0.0,100.0,10769.0
abdelkader,10,100.0,0.0,10067.0
chrystelle,10,0.0,100.0,9971.0
marcelline,10,0.0,100.0,8793.0
priscillia,10,0.0,100.0,7947.0
etiennette,10,0.0,100.0,7673.0
barthelemy,10,97.5,2.5,7493.0
philippine,10,0.0,100.0,7215.0
magdeleine,10,0.0,100.0,6488.0
prescillia,10,0.0,100.0,5651.0
marjolaine,10,0.0,100.0,5191.0
francisque,10,99.16,0.84,4544.0
souleymane,10,100.0,0.0,4242.0
florentine,10,0.0,100.0,4195.0
baptistine,10,0.0,100.0,4159.0
constantin,10,100.0,0.0,3743.0
alessandro,10,100.0,0.0,3659.0
marie lise,10,0.0,100.0,3651.0
marie luce,10,0.0,100.0,2276.0
stanislawa,10,0.93,99.07,2263.0
felicienne,10,0.0,100.0,2203.0
jean denis,10,100.0,0.0,2183.0
leopoldine,10,0.0,100.0,2168.0
paquerette,10,0.0,100.0,1918.0
marie aude,10,0.0,100.0,1910.0
ambroisine,10,0.0,100.0,1831.0
enguerrand,10,100.0,0.0,1768.0
mariannick,10,0.0,100.0,1610.0
emmanuella,10,0.0,100.0,1573.0
jean david,10,100.0,0.0,1565.0
franceline,10,0.0,100.0,1558.0
abdelhakim,10,100.0,0.0,1519.0
abdelkarim,10,100.0,0.0,1511.0
petronille,10,8.05,91.95,1504.0
toussainte,10,0.0,100.0,1467.0
annonciade,10,0.0,100.0,1464.0
anna maria,10,0.0,100.0,1453.0
bernardine,10,0.0,100.0,1385.0
gwennaelle,10,0.0,100.0,1351.0
donatienne,10,0.0,100.0,1335.0
yves marie,10,100.0,0.0,1298.0
hildegarde,10,0.0,100.0,1291.0
conception,10,0.0,100.0,1283.0
maryannick,10,0.0,100.0,1198.0
laurentine,10,0.0,100.0,1153.0
noureddine,10,100.0,0.0,1131.0
lisa marie,10,0.0,100.0,1127.0
abdelhamid,10,100.0,0.0,1103.0
paul henri,10,100.0,0.0,1009.0
dominique,9,59.01,40.99,409966.0
christian,9,99.97,0.03,405661.0
francoise,9,0.01,99.99,401599.0
catherine,9,0.06,99.94,394929.0
madeleine,9,0.01,99.99,305109.0
sebastien,9,99.96,0.04,304494.0
alexandre,9,99.93,0.07,302348.0
christine,9,0.01,99.99,280644.0
stephanie,9,0.02,99.98,238931.0
veronique,9,0.08,99.92,236006.0
guillaume,9,99.93,0.07,222804.0
genevieve,9,0.13,99.87,186217.0
elisabeth,9,0.09,99.91,162628.0
georgette,9,0.0,100.0,152948.0
charlotte,9,0.0,100.0,149308.0
henriette,9,0.0,100.0,126915.0
micheline,9,0.0,100.0,111865.0
gabrielle,9,0.04,99.96,99876.0
josephine,9,0.0,100.0,96767.0
alexandra,9,0.03,99.97,93080.0
angelique,9,0.0,100.0,92124.0
jean marc,9,100.0,0.0,90725.0
jean paul,9,100.0,0.0,87616.0
pierrette,9,0.0,100.0,81921.0
ghislaine,9,0.0,100.0,64337.0
valentine,9,0.0,100.0,48803.0
claudette,9,0.0,100.0,47757.0
emilienne,9,0.0,100.0,45388.0
geraldine,9,0.0,100.0,43710.0
augustine,9,0.06,99.94,40408.0
jean yves,9,100.0,0.0,37616.0
maryvonne,9,0.0,100.0,35504.0
benedicte,9,0.0,100.0,34978.0
albertine,9,0.0,100.0,28174.0
constance,9,0.15,99.85,26078.0
cassandra,9,0.0,100.0,24399.0
gwenaelle,9,0.0,100.0,22839.0
stanislas,9,98.17,1.83,21296.0
louisette,9,0.0,100.0,20129.0
jeannette,9,0.0,100.0,19672.0
annabelle,9,0.0,100.0,18477.0
victorine,9,0.15,99.85,17815.0
marinette,9,0.0,100.0,17388.0
theophile,9,99.06,0.94,16299.0
ferdinand,9,99.49,0.51,16178.0
ernestine,9,0.0,100.0,15544.0
jean noel,9,100.0,0.0,14922.0
celestine,9,0.14,99.86,14687.0
nathanael,9,99.29,0.71,14433.0
philomene,9,0.82,99.18,13510.0
priscilla,9,0.0,100.0,13499.0
christele,9,0.0,100.0,13134.0
cassandre,9,1.47,98.53,13097.0
raphaelle,9,0.0,100.0,12976.0
pascaline,9,0.0,100.0,11898.0
hippolyte,9,98.16,1.84,10593.0
fatoumata,9,0.0,100.0,9418.0
berengere,9,0.0,100.0,8758.0
marceline,9,0.0,100.0,8153.0
anne lise,9,0.0,100.0,8142.0
francette,9,0.0,100.0,7802.0
christina,9,0.0,100.0,7795.0
berangere,9,0.0,100.0,7685.0
graziella,9,0.0,100.0,7533.0
anastasia,9,0.0,100.0,7508.0
francisco,9,100.0,0.0,7396.0
florentin,9,99.63,0.37,7010.0
kimberley,9,0.0,100.0,6776.0
lily rose,9,0.0,100.0,5973.0
clothilde,9,0.0,100.0,5940.0
eglantine,9,0.0,100.0,5759.0
armandine,9,0.0,100.0,5243.0
victorien,9,99.57,0.43,4903.0
frederick,9,99.34,0.66,4867.0
laurianne,9,0.0,100.0,4834.0
chrystele,9,0.0,100.0,4696.0
hyacinthe,9,74.79,25.21,4633.0
kassandra,9,0.0,100.0,4591.0
elizabeth,9,0.0,100.0,4549.0
toussaint,9,98.54,1.46,4370.0
josseline,9,0.0,100.0,4331.0
jean rene,9,100.0,0.0,4253.0
sylvestre,9,95.15,4.85,4061.0
domitille,9,0.0,100.0,3811.0
jean loup,9,100.0,0.0,3781.0
abdoulaye,9,100.0,0.0,3678.0
salvatore,9,100.0,0.0,3657.0
valentina,9,0.0,100.0,3560.0
francesca,9,0.0,100.0,3441.0
marcellin,9,100.0,0.0,3376.0
philibert,9,98.06,1.94,3353.0
gabriella,9,0.0,100.0,3216.0
marie lou,9,0.0,100.0,3161.0
laureline,9,0.0,100.0,3154.0
anastasie,9,1.34,98.66,3143.0
mahamadou,9,100.0,0.0,3126.0
francesco,9,100.0,0.0,2924.0
abigaelle,9,0.0,100.0,2748.0
priscille,9,0.0,100.0,2641.0
gracieuse,9,0.0,100.0,2628.0
seraphine,9,0.0,100.0,2616.0
souleyman,9,100.0,0.0,2613.0
ghyslaine,9,0.0,100.0,2474.0
alexander,9,100.0,0.0,2436.0
magdalena,9,0.0,100.0,2421.0
abdelkrim,9,100.0,0.0,2419.0
charlette,9,0.0,100.0,2363.0
abdelaziz,9,100.0,0.0,2259.0
rosemonde,9,0.0,100.0,2253.0
josselyne,9,0.0,100.0,2244.0
francisca,9,0.0,100.0,2230.0
adolphine,9,0.0,100.0,2203.0
moustapha,9,100.0,0.0,2178.0
sylvianne,9,0.0,100.0,2170.0
euphrasie,9,2.85,97.15,2144.0
cristelle,9,0.0,100.0,2086.0
esperance,9,5.96,94.04,1995.0
marie eve,9,0.0,100.0,1986.0
balthazar,9,100.0,0.0,1851.0
sebastian,9,100.0,0.0,1839.0
guenaelle,9,0.0,100.0,1790.0
lili rose,9,0.0,100.0,1783.0
nathaniel,9,100.0,0.0,1779.0
aboubacar,9,100.0,0.0,1732.0
sherazade,9,0.0,100.0,1707.0
prescilia,9,0.0,100.0,1685.0
valentino,9,100.0,0.0,1679.0
corentine,9,0.0,100.0,1646.0
quitterie,9,0.0,100.0,1644.0
baptistin,9,100.0,0.0,1631.0
jefferson,9,100.0,0.0,1608.0
theophane,9,100.0,0.0,1578.0
franciane,9,0.0,100.0,1550.0
esmeralda,9,0.0,100.0,1535.0
katherine,9,0.0,100.0,1505.0
florimond,9,100.0,0.0,1463.0
abygaelle,9,0.0,100.0,1460.0
antonella,9,0.0,100.0,1335.0
melisande,9,0.0,100.0,1285.0
soulayman,9,100.0,0.0,1267.0
prescilla,9,0.0,100.0,1266.0
florianne,9,0.0,100.0,1244.0
herveline,9,0.0,100.0,1201.0
priscilia,9,0.0,100.0,1198.0
aboubakar,9,100.0,0.0,1194.0
guislaine,9,0.0,100.0,1182.0
cyprienne,9,0.0,100.0,1181.0
valeriane,9,0.0,100.0,1161.0
siegfried,9,100.0,0.0,1150.0
cristiano,9,100.0,0.0,1149.0
louisiane,9,0.0,100.0,1135.0
lissandro,9,100.0,0.0,1109.0
cassiopee,9,0.0,100.0,1100.0
gislhaine,9,0.0,100.0,1065.0
clairette,9,0.0,100.0,1061.0
messaouda,9,0.0,100.0,1036.0
philippe,8,99.95,0.05,538806.0
francois,8,99.94,0.06,399149.0
nathalie,8,0.03,99.97,383021.0
isabelle,8,0.02,99.98,378147.0
frederic,8,99.93,0.07,328250.0
stephane,8,99.6,0.4,309974.0
sandrine,8,0.0,100.0,240244.0
marcelle,8,0.02,99.98,229340.0
jeannine,8,0.0,100.0,218732.0
paulette,8,0.0,100.0,213345.0
germaine,8,0.04,99.96,211071.0
patricia,8,0.0,100.0,207458.0
brigitte,8,0.08,99.92,202746.0
laurence,8,0.06,99.94,181812.0
virginie,8,0.07,99.93,171637.0
lucienne,8,0.0,100.0,170657.0
juliette,8,0.0,100.0,167128.0
raymonde,8,0.03,99.97,164907.0
claudine,8,0.0,100.0,158997.0
danielle,8,0.0,100.0,158132.0
caroline,8,0.0,100.0,156399.0
benjamin,8,99.9,0.1,151019.0
florence,8,0.02,99.98,148068.0
mathilde,8,0.09,99.91,144149.0
laetitia,8,0.0,100.0,143310.0
emmanuel,8,99.9,0.1,136139.0
beatrice,8,0.0,100.0,131442.0
mireille,8,0.0,100.0,129871.0
delphine,8,0.05,99.95,127717.0
michelle,8,0.0,100.0,122187.0
jean luc,8,100.0,0.0,117383.0
valentin,8,99.93,0.07,111481.0
fabienne,8,0.0,100.0,105328.0
jonathan,8,100.0,0.0,105261.0
baptiste,8,100.0,0.0,104785.0
jocelyne,8,0.03,99.97,103590.0
amandine,8,0.0,100.0,95852.0
severine,8,0.0,100.0,95415.0
francine,8,0.0,100.0,92765.0
huguette,8,0.0,100.0,90188.0
clemence,8,0.0,100.0,86235.0
fernande,8,0.03,99.97,85122.0
matthieu,8,100.0,0.0,81752.0
aurelien,8,99.9,0.1,80154.0
bertrand,8,99.96,0.04,67401.0
jennifer,8,0.0,100.0,65509.0
gilberte,8,0.0,100.0,62173.0
corentin,8,100.0,0.0,58842.0
thibault,8,100.0,0.0,54749.0
sylviane,8,0.0,100.0,53077.0
alphonse,8,99.75,0.25,43437.0
augustin,8,99.81,0.19,42468.0
ludivine,8,0.0,100.0,42004.0
victoria,8,0.0,100.0,40810.0
marianne,8,0.0,100.0,39525.0
murielle,8,0.0,100.0,37965.0
maryline,8,0.0,100.0,37494.0
adrienne,8,0.0,100.0,34918.0
charline,8,0.0,100.0,32925.0
charlene,8,0.0,100.0,32637.0
marjorie,8,0.0,100.0,30077.0
julienne,8,0.08,99.92,30051.0
clarisse,8,0.24,99.76,29530.0
geoffrey,8,100.0,0.0,27862.0
blandine,8,0.0,100.0,27827.0
clotilde,8,0.4,99.6,27301.0
gregoire,8,97.89,2.11,27250.0
eleonore,8,0.53,99.47,25931.0
victoire,8,0.57,99.43,25832.0
leontine,8,0.0,100.0,24005.0
roselyne,8,0.0,100.0,23973.0
capucine,8,0.0,100.0,23936.0
rodolphe,8,99.87,0.13,23423.0
violette,8,0.0,100.0,23094.0
angelina,8,0.0,100.0,21985.0
timothee,8,98.73,1.27,21875.0
